permalink,published_at,_date-modified,title,description,body,,,,,image,
136,2007-01-28 11:13:02,2007-02-08 18:59:48,What's in a Name?,,"A town named for Quanah Parker, whose high school football team is called the Fighting Indians. In real time, Quanah's fighting band fought and escaped Mackenzie's Red River War attack in 1874, and were forced from Palo Duro Canyon. Quanah's starving band held out until June 1875, becoming the last group to surrender itself at Ft. Sill, Oklahoma. The school's History curriculum would do well to include the events behind the town's namesake and team's nickname.",,,,,136_t.jpg,
138,2007-01-29 15:45:41,2007-01-30 06:14:08,Buffalo Country (Minus Buffalo),,"A highway sign south of Amarillo announces it's ""Buffalo Country."" Here is the evidence of things unseen.",,,,,138_t.jpg,
139,2007-01-29 17:07:59,2007-05-25 10:09:28,"""Indian Territory"" (1887)","Just 13 years before this map, the region hosted sovereign Indian homelands. The map shows a new power grid, the result of the Trail of Tears (1838) and Red River War (1874). The Texas Panhandle and JA Ranch lie west of the pacified red zone.",,,,,,139_t.jpg,
141,2007-02-04 21:53:14,2007-02-05 10:30:23,Setting the Table....,The Adair-Goodnight saga is an irrevocable part of a lustrous ranching history; a history made possible by an inseparable siamese twin who cleanses the Plains of buffalo and subjugates the Indians who must hunt them.,"After the Battle of the Washita in December, 1868, General Sherman ordered all Cheyennes, Arapahos, Kiowas and Commanches to come in to Fort Cobb and surrender, or face extinction by being hunted down and killed by his Bluecoat soldiers.  Little Robe...brought in the Cheyennes. Yellow Bear brought in the Arapahos. A few Commanche leaders - notably Tosawi, who was told by [General] Sheridan that the only good Indian was a dead Indian - also came to surrender. The proud and free Kiowas, however, gave no sign of cooperating, and Sheridan sent Hard Backsides Custer to force them to surrender or to destroy them. 

Dee Brown
<i>Bury My Heart At Wounded Knee</i>
1970",,,,,NULL,
142,2007-02-04 22:06:39,2007-04-12 14:58:10,Buffalo or Corn? Corn or Buffalo? Who's on First?,"Hunt Buffalo! Plant Corn! Hunt Buffalo! Reap Corn! The Solutions to the ""Indian Question"" fly fast and furious. But wherever there is land, only one solution will do...","By corn-planting time, two thousand Kiowas and twenty-five hundred Commanches were settled on the new reservation. For the Commanches there was something ironic in the government's forcing them to turn away from buffalo hunting to farming. The Commanches had developed an agricultural ecnomy in Texas, but the white men had come there and seized their famrlands, focing them to hunt buffalo in order to survive. Now this kindly old man, [Indian Agent] Bald Head [Lawrie] Tatum, was trying to tell them they should take the white man's road and go to farming, as if the Indians knew nothing of growing corn. Was it not the Indian who first taught the white man how to plant corn and make it grow?

Dee Brown
<i>Bury My Heart At Wounded Knee</i>
1970",,,,,NULL,
143,2007-02-04 22:51:00,2007-03-28 19:04:14,A Summer Moon Lights the Road to Palo Duro,The way through the Staked Plains to and from Palo Duro is a moonlit clash of civilizations.  ,"In the Summer Moon of 1870, the Kiowas held a big sun dance on the North Fork of Red River. They invited the Commanches and Southern Cheyenne to come as guests, and during the ceremonies many disillusioned warriors talked of staying out on the Plains and living in plenty with buffalo instead of returning to the reservation for meager handouts...

As soon as the dancing was finished, many of the young men rode off to Texas to hunt buffalo and raid the Texans who had taken their lands. They were especially angry against white hunters who were coming down from Kansas to kill thousands of buffalo; the hunters took only the skins, leaving the bloody carcasses to rot on the Plains. To the Kiowas and Commanches the white men seemed to hate everything in nature. 

Dee Brown
<i>Bury My Heart At Wounded Knee</i>
1970",,,,,NULL,
144,2007-02-05 09:20:07,2007-02-10 08:20:57,"""Foes to Progress and the Cause of Humanity""",The eye-popping 1870 conclusion of a 6-month study of Gen. Phil Sheridan's operations against Indians on the Great Plains. Judge for yourself...,"Civilization is extending in opposite directions, Westward across the great Valley of the Mississippi, and Eastward traversing the auriferous regions of the Rocky Mountains, presents two extensive fields of American Industry, apporoximating each other, and demanding a more convenient and rapid intercourse. Railways and Telegraphs have boldly penetrated the solitude of the Plains, and the wild Passes of the Mountains reverbarate to the rumble of moving trains. The two oceans are already linked together by an Iron Highway. The savage, alarmed at this new encroachment, is ready at any moment for a desperate, probably a final effort to drive out the invaders of his hunting-grounds. Fearful of his future he opposes such encroachments, for in them he sees no benefit to the remnant of his race, who have taken refuge on the plains and in the mountains.

The struggle has come, to solve, for all time, the question whether the white or the red man shall prevail in the vast intermediate region between Eastern and Western civilization. The exigencies of modern civilzation point to the inevitable doom of the aboriginal people of the United Stats. Their savage natures, incapable of restraint, render them by instinct foes to progress and the cause of humanity. As with the buffalo, the approach of civilzaiton is to them the knell of destruction. As the murderous bullet of the white hunter ruthlessly slaughters the buffalo, so the vices of civilization carry off those of the red men who have outlived their kindred.

DeB. Randolph Keim
<i>Sheridan's Troopers on the Borders</i>
1870",,,,,NULL,
145,2007-02-05 10:15:51,2007-04-15 07:09:46,The View from Headquarters....,"Drapetomania was a psychiatric diagnosis proposed in 1851 by physician Dr. Samuel A. Cartwright, of the Louisiania Medical Association, to explain the tendency of black slaves to flee captivity. While not terming it a disease, Gen. Phil Sheridan helped create and enforce an involuntary ""cure"" for the Plains Indian Problem. Here, he prescribes the reservation system as the only way to achieve ""the management of Indians""...","""I may say in reference to the management of Indians, the reservation system is the only one offering any prospects of success, but all experience has shown that the wild Indian will not adopt it until he is forced to do so. All the tribes on the Northern Pacific coast had to be subdued and forced on the reservations, which was accomplished between the years 1855 and 1860. Then peace ensued. [Actually the US Civil War - ed.] Latterly the same policy has been pursued in regard to the Comanches, Kiowas, Cheyennes, and Arrapahoes.

After the wild Indians are put upon the reservations, a strong military force will have to be kept there to protect the agents and others required in the work of civilization, and also for the subordination of the Indians, and their protection against the encroachments of the white settlers, who otherwise would take possession of their lands.""

Gen. Phil Sheridan
Chicago, Illinois
1870","After the Civil War, railroad development became the Grant-Sherman-Sheridan strategy for dealing with Indians. In a perfect synergy, Railroads made Sheridan & Co.'s plans for force projection and concentration desirable and were awarded massive land grant",,,,NULL,
146,2007-02-05 10:46:46,2007-04-15 09:12:32,THE PLAYERS...,An evolving <b>Who's Who</b> of <i>this</i> Staked Plains/Palo Duro saga and its aftermaths (In progress... Please add your players!),"<b>John George Adair</b>
A notorious Irish evictor who comes to America in 1866, marries a New York society widow, Cornelia Wadsworth Ritchie, and, together, return to America where they invest royally in  Texas Cattle Ranching. This allows them to maintain a high Victorian lifestyle based, ultimately, on Sheridan-Mackenzie's dispossession of Commancheria from the Panhandle and, specifically, from Palo Duro Canyon. 

<b>Cornelia Wadsworth Ritchie Adair</b>
A daughter of New York landed elites, Cornelia lost her husband and father, within a few month, to the US Civil War. As a mother rearing two children, she marries Adair in 1866 and leaves the US to live in Victorian style in Ireland and England. In 1874, they return on a buffalo safari, and she keeps a diary of the trip.

<b>Francisco de Coronado</b>
One of the famed Conquistadors who, in 1540-42, projected Spanish power into the ""New World"" by undertaking a great trek across the Staked Plains, the Panhandle, and Palo Duro Canyon in search of gold.

<b>Charles Goodnight</b>
A giant of Texas and Panhandle history and lore, this trailblazer and rancher  entered a contract in 1876 with John Adair, and together launched and expanded the JA Ranch. He was bankrupted by the Panic of 1873, until Adair's financing put him back on his ample feet. In his final years, wrongheaded investments led back to virtual bankruptcy. Ironically, he allied with Texas Confederates in the US Civil War; while his partner, Mrs. Adair, was daughter of a Yankee hero-general.

<b>Jot Gunter and Bill Munson</b>
The first purchase of the JA Ranch was 12,000 acres bought by Adair from surveyor-speculators Gunter and Munson at seventy-five cents per acre, with an option to buy 12,000 additional acres. Operating from their home office at Sherman in Grayson County, Jot Gunter, William B. Munson, Sr. filed or controlled major surveys across the Panhandle and with John S. Summerfield. They obtained title to vast tracts of Panhandle acreage by locating their land certificates and surveying on a partnership basis for other land companies. Using money borrowed in Illinois to supplement their own funds, they were among Texas's foremost purchasers of land certificates. Adair and Goodnight had to go through them to have and consolidate the JA.

<b>Quanah Parker.</b>

<b>Satanta.</b>

<b>Gen. John Sherman</b>
In 1868, the top General of the Army, William ""Tecumseh"" Sherman, granted Phil Sheridan the power to ensure that ""these Indians, the enemies of our race and of our civilization, shall not again be able to begin and carry on their barbarous warfare,"" endorsing a harsh winter campaign, even if ""it ends in the utter annihilation of these Indians."" Sherman extended Sheridan complete freedom of action, promising to ""back you with my whole authority, and stand between you and any efforts that may be attempted in your rear to restrain your purpose or check your troops."" 

<b>Lt. Gen. Philip Sheridan.</b>
After the Civil War, Gen. Phil Sheridan was headquartered in Chicago to oversee Reconstruction and Indian Management. To suppress Commancheria's uprising of 1873-1874, he designed a multi-column, ""strategy of convergence."" Simultaneously launched from five surrounding forts in the Texas Panhadle, it was carried out by General Nelson A. Miles,  Col. Ranald ""Bad Hand"" Mackenzie, Lt. Col. John W. Davidson, Lt. Col. George B. Buell and Major William R. Price.   

<b>Col. Ranald ""Bad Hand"" Mackenzie.</b>
In the Red River (Buffalo) War of 1874, Mackenzie uprooted the tribes from Palo Duro Canyon and destroyed a minimum of 1500 Commanche and Kiowa horses, breaking the back of their resistance; and - after that winter's relentless ""wrinkled-hand chase"" - forcing their eventual return to the reservation and the forced exile of their leaders to Florida.",,,,,NULL,
147,2007-02-05 12:24:02,2007-04-16 10:27:23,Their Journey Begins....,"On August 30th, 1874, the Adair's take the Great Southern & Western Railway(!) train from Portarlington, Ireland down to Queenstown, to catch the SS Cuba for New York City. Their trek from Ireland to America's 'new West' begins. It's Victorians Gone Wild: let the buffalo beware!","August 30th 1874 - We left Portarlington this morning, and ran down to Queenstown very comfortably in almost the only quick train in Ireland - the Sunday ""American Mail,"" as it is called.

Cornelia Adair
<i>My Diary</i>
August 30, 1874",,,,,NULL,
148,2007-02-05 23:33:52,2007-02-08 10:53:54,Palo Duro Today,A Texas highway map pinpoints Palo Duro Canyon and the counties it spans. (Texas DOT),,,,,,148_t.jpg,
150,2007-02-06 07:10:38,2007-03-24 07:57:52,25 Forts Over Texas (1860-1890),"Federal forts that occupy Texas, 1860-1890.",,,,,,150_t.jpg,
151,2007-02-08 14:59:26,2007-02-08 15:05:21,Coronado's Expedition (1540-42),"Spanish Conquistador Coronado's fabled trek through the Southwest, crossed the Llano Estacado and Palo Duro Canyon. (US National Park Service, 1974)",,,,,,151_t.jpg,
152,2007-02-08 15:11:03,2007-02-08 15:16:24,Indian Country as War Looms (1874),The location of tribes on the eve of the Red River War. (Texas Beyond History),,,,,,152_t.jpg,
154,2007-02-08 15:38:06,2007-03-31 07:04:07,Red River War: Flash Points,Key sites of the Red River (Buffalo) War of 1874 (Texas Beyond History),,,,,,154_t.jpg,
156,2007-02-08 15:51:13,2007-02-08 15:57:23,National Heritage Site,,A night time drive through the rural Panhandle sheds light on the 1973 plaque that names the JA Ranch a National Historic Landmark.,,,,,156_t.jpg,
158,2007-02-08 16:29:46,2007-03-18 11:36:55,Sheridan Observed,,"A sarcastic 19th century view by England's famed Puck Magazine of Gen. Phil Sheridan and Interior Secretary Carl Schurz's exhausting passion for Indian Management on the Great Plains. During their tenures, the Indian Bureau was responsible for: the avoidable Nez Perce War in 1877; crushing the Northern Cheyenne Exodus from Indian Territory in 1878; refusing to allow Poncas to return to the guaranteed reservation on the Missouri River; reneging on the promise to return the Northern Paiute bands that helped the U.S. in the Bannock War to their Nevada homelands in 1880. (Wikipedia)",,,,,158_t.jpg,
161,2007-02-10 10:46:07,2007-03-12 12:15:04,That Vision Thing...,,"This romantic homage to Conquistadors adorns Lisbon today. The end always starts within the beginning. The quest for El Dorado, for immense personal or global power, propelled Coronado across the Staked Plains and Palo Duro in 1540-42, just as it drove Adair and Goodnight toward their fateful meeting in 1875.",,,,,161_t.jpg,
162,2007-02-10 11:34:48,2007-02-10 11:39:44,Sheridan's Block,,"The 3300 block of South Michigan Av., near where Sheridan's Chicago mansion was located when he oversaw the Great Plains. (Chicago Historical Society)",,,,,162_t.jpg,
163,2007-02-12 07:32:14,2007-03-10 06:56:40,House of Worship,,"The Second Presbyterian Church was erected close to Sheridan's Chicago mansion in 1874. That September, the Adair's visit Sheridan in Chicago, perhaps prey there together. All the while the Red River (Buffalo) War rages on the plains to the south. This image shows the rebuilt (1904) Church today. (Photo by Rob Hart)",,,,,163_t.jpg,
164,2007-02-12 07:45:28,2007-02-12 07:47:20,Landmark Church,,"From 1874 and for decades thereafter, the Second Presbyterian Church adorned a street for Chicago's well-to-do, including Sheridan. (Rob Hart)",,,,,164_t.jpg,
165,2007-02-12 10:49:41,2007-04-11 09:02:52,Ghosts of Tule Canyon,"Larry McMurtry's description of the Sand Creek Massacre of Cheyenne in 1864 seems just as true of Mackenzie's record destruction of at least 1,500 Commanche-Kiowa horses in Tule Canyon, only ten years later (September 1874).","What remained on that field was a meat shop, a deathscape out of Breughel.... People confronted with massacres at first want to know how many died - a little later some of them begin to want to know why. 

Larry McMurtry
<i>Oh What a Slaughter</i>
2005","In 1540, Coronado came through the Llano Estacado, Palo Duro Canyon and Tule Canyon in search of gold with a thousand-man force that included 1,500 horses and other animals.

The skeletons of Mackenzie's exploit bleached in a sun-drenched mountain, fift",,,,NULL,
170,2007-02-12 20:34:27,2007-04-15 09:11:36,El Requirimiento: Spain's Protocol for Conquest,"Spain declared the New World hers by the Vatican's Doctrine of Discovery. Read aloud to native peoples, in Spanish, by Conquistadors like Coronado, the <i>Requirimiento</i> voices its ultimatum: Indians must recognize the superiority of Christianity and submit, or be warred upon. It was widely read in the period when Coronado trekked through the Staked Plains and Palo Duro. ","On behalf of his Majesty...I... his servant, messenger... notify and make known as best I can that God our Lord one and eternal created heaven and earth... God our Lord gave charge [of all peoples] to one man named Saint Peter, so that he was lord and superior of all the men of the world... and gave him all the world for his lordship and jurisdiction... One of these Pontiffs... made a donation of these islands and mainland of the Ocean Sea to the Catholic kings of Spain... Almost all who have been notified [of this] have received His Majesty and obeyed and serve him as subjects... and turned Christian without reward or stipulation...and His Majesty received them...as subjects and vassals.... Therefore I beg and require you as best I can...[that] you recognize the church as lord and superior of the universal world, and the most elevated Pope...in its name, and His Majesty in his place as superior and lord and king...and consent that these religious fathers declare and preach...and His Majesty and in his name will receive you...and will leave your women and children free, without servitude so that with them and with yourselves you can freely do what you wish...and we will not compel you to turn Christians. But if you do not do it...with the help of God, I will enter forcefully against you, and I will make war everywhere and however I can, and I will subject you to the yoke and obedience of the Church and His Majesty, and I will take your wives and children, and I will make them slaves...and I will take your goods, and I will do to you all the evil and damages that a lord may do to vassals who do not obey or receive him. And I solemnly declare that the deaths and damages received from such will be your fault and not that of His Majesty, nor mine, nor of the gentlemen who came with me.

The Requirimiento (a version)
(Source: Patricia Seed
<i>Ceremonies of Possession
in Europe's Conquest of the New World,
1492-1640</i>)",,,,,NULL,
167,2007-02-12 14:37:34,2007-02-12 14:45:30,Missed Allliance: Buffalo Soldiers Vs. Plains Warriors,"Elmer Kelton reminds us that part of the Southwest's tragedy lies in how black Buffalo Soldiers, not a few being former slaves, were deployed to fight and uproot Plains Indians from their homelands. ""It would be tempting to visualize their forming an alliance...""","To the Indian, the buffalo soldier was simply another white man whose face happened to be black. To the black soldier, the Indian was the same deadly enemy he appeared to the whites. In retrospect it is evident that the former slaves and the Indians had much in common. It would be tempting to visualize their forming an alliance. But in history it seldom happened. An occasional escaped slave found sanctuary among Indians, but most often such runaways found only further enslavement, or, more likely, sudden death. Neither slave nor Indian seemed to recognize the potential common bond.

Elmer Kelton
<i>The Wolf and the Buffalo</b>
1980",,,,,NULL,
168,2007-02-12 18:51:13,2007-02-12 18:52:31,Church,,,,,,,168_t.jpg,
169,2007-02-12 18:55:53,NULL,church 2,,,,,,,169_t.jpg,
171,2007-02-14 11:36:29,2007-04-09 11:56:09,Last Commanche Chief,,"Quanah Parker fought against Mackenzie at Palo Duro Canyon, and escaped with his band of Quohadi Commanche. After the ""wrinkled hand chase"" - a frozen winter of hot pursuit and starvation -, they were the last to give in and return to the reservation at Ft. Sill, Oklahoma. Interestingly, Quanah was <i>not</i> exiled with the 73 so-called ringleaders of the uprising to Ft. Marion, Florida. And, in a few years of partial accommodation, he would become a 19th century national icon. Quanah Parker remains a compelling and complex figure.",,,,,171_t.jpg,
172,2007-02-14 13:39:10,2007-04-11 08:58:03,Why Adair Came to America?,"Accounts blandly say he opened a loan brokerage in 1866 in New York; the place where he, a presumably very landed gentleman, meets and marries his presumably very wealthy bride. But <i>why</i> leave Ireland at all?","In 1866, Adair came to post-Civil War New York from Ireland to boost his fortunes. Why? Perhaps the wild-fire spread of the <i>Great Cattle Plague</i> from Europe to Britain toward Ireland was threatening his way of life. That year, this hymn was written and widely sung in English churches:

1. All creation groans and travails
Thou, O God, shall hear its groan
For of man and all creation
Thou alike art Lord alone.

2. Pity then Thy guiltless creatures
Who, not less, man’s sufferings share
For our sins it is they perish
Let them profit by our prayer.

3. Cast Thine eyes of love and mercy
On the misery of the land
Say to the Destroying Angel
'Tis enough; stay now thine hand.’

4. In our homesteads, in our valleys
Through our pasture lands give peace
Through the Goshen of Thine Israel
Bid the grievous murrain* cease.

5. Hear and grant the supplications
Like a cloud of incense, sent
Up towards Thy seat of Mercy
Through the forty days of Lent

6 And at last to all Thy servants
When earth’s troubles shall be o’er
Give, O Triune God, a portion
With Thyself for evermore.

* murrain = disease

<i>All Creation Groans and Travails</i> (1866)
Church Hymn
By J.S. Neale (1818-1886)",,,,,NULL,
173,2007-02-14 20:41:57,2007-05-09 10:58:33,The Buffalo War,"As the Adair's hunt buffalo, this pincer operation drives Indians back to their hated reservations, marking the first use of the Gatling gun againts Indians and history's largest recorded horse massacre...","a.k.a the Red River War, a multi-pronged operation by the Army -- also known as Gen. Phil Sheridan's strategy of convergence -- defeats, hunts down and drives most of the Indians back to the reservations. Under Sheridan's oversight, its main columns were led by Col. Nelson A. Miles (who deployed Gatling Guns), Col. Ranald ""Bad Hand"" Mackenzie, Lt. Col. George P. Buell, Lt. Col. John W. Davidson and Major William R. Price. Some younger participants would live to participate in the Spanish-American War's aftermath in the Phillipines (starting 1898 and for 5 years thereafter).",,,,,NULL,
175,2007-02-14 22:05:40,2007-03-29 23:07:46,Art Therapy,"After the Red River War, 73 Indians were designated as ringleaders of the rebellion and transported, in a reverse Trail of Tears, to Ft. Marion Florida. There, 23 would produce images of their former free lives, known today as Ledger Art...","""Lt. Pratt encouraged the men to produce souveneirs for sale to the tourists who frequented St. Augustine, and 23 of the Fort Marion prisoners are known to have produced drawings during their tenure in the East, often in small drawing books. They were able to keep the money from their sales, and many sent funds home to help support their families.""

Smithsonian Institute",,,,,NULL,
223,2007-03-25 10:26:17,2007-03-25 10:27:52,Goodnight Without Frontiers,A purely reverential portrait of Goodnight by his famed biographer.,"Now, a hundred and thirteen years after his birth, his massive frame still looms strong among the horsemen of the storied West.

He rode horseback from Illinois to Texas when he was nine years old. He was hunting with the Caddo Indians beyond the frontier at thirteen, launching into the cattle business at twenty, guiding Texas Rangers at twenty-four, blazing cattle trails two thousand miles in length at thirty, establishing a ranch three hundred miles b eyond the frontier at forty, and at forty-five dominating nearly twenty million acres of range country <i>in the interests of order</i>. At sixty he was recognized as possibly the greatest scientific  breeder of range cattle in the West, and at ninety he was an active international authority on the economics of the range industry.

He always rode beyond the borderlands, upon ranges of unspoiled grass... The vast and changing coutry over which he moved, the fertility of a mind quickly grasped the significance of climate and topography, the inexhaustible engery of his mind and body, and the long period through which he constantly applied himself to the Western World, operated to produce in this man  an ample nature surpassing many of the more famous characters of frontier history.

J. Evetts Haley
<i>Charles Goodnight, Cowman and Plainsman</i>
1949",,,,,NULL,
177,2007-02-14 22:38:59,2007-02-14 22:48:13,Harley True Burton's History of the JA Ranch (1927),"In 1927, Harley True Burton submitted his classic JA Ranch History for his MA Degree.","It shall be my purpose to give as complete a history as is possible with the information I have in hand of the first cattle ranch established in the Panhandle of Texas.

This was, and is today, known as the J A Ranch. It was established by Colonel Charles Goodnight in 1876 on the Palo Duro Canyon (now spelled Paloduro, since the establishment of a post office at Paloduro, Texas). This ranch was located in what is now Armstrong, Briscoe, Donley, Hall, Randall and Swisher Counties. The main ranch was divided into two ranches, the J A Ranch and the J J Ranch, when the ranch was first established. A little later, 1884, the holdings got so large that still another ranch was located, known as the Tule Ranch. In 1882 the Quitaque Ranch, better known as the F Ranch, was established and managed by Colonel Goodnight for Mrs. Adair. It was located in Briscoe, Floyd, and Motley Counties. The land holdings were gradually increased by purchase and lease until at one time the land actually grazed by the combined interests reached a total of more than a million acres. The herd was increased until at one time there were about nine thousand head of high-grade Hereford cattle and over 60,700 in the main herd with a calf branding of sixteen thousand head, not including the F Ranch cattle. Today the J A Ranch includes part of the original holdings of the J A and J J Ranches only, and there are only 397,800 acres of land and about 25,000 head of cattle. 

(Excerpt from: Southwestern Historical Quarterly Online)",,,,,NULL,
178,2007-02-15 06:53:57,2007-02-15 06:55:44,"Cornelia Adair, at Rest",,"Mrs. Adair's ashes lie in Rathdaire Church, near Ballybrittas, Ireland, which she dedicated in 1887 to the memory of her husband, John George Adair. Later that year, their nearby mega-mansion burned to the ground.",,,,,178_t.jpg,
179,2007-02-16 21:19:29,2007-03-29 22:56:17,At the Tule Canyon Massacre with Mackenzie,"Captain R. G. Carter was there, in Tule Canyon with Mackenzie, when 2000 Commanche horses were destroyed. While barely remembered, this event broke Indian resistance on the Southern Plains and catalyzed Westward Expansion.","""Still another detachment was employed in rounding up the pony herd and getting it out of the Canon by the same trail we had already used.

As our skirmish line advanced, the Indians retired, springing from one rock to the protection of another, until finally they took to the inaccessible sides of the Canon once more; then, in order to hold the large number of ponies captured the command commenced to withdraw from the Canon, which was finally vacated between 3 and 4 o'clock p.m. The whole command now assembled, with the immense herd of captured ponies, on the high prairie (""Staked Plains""). A ""hollow square"" or huge parallelogram was formed as follows: One troop in line of battle rode in advance; on either side marched two troops in column of twos; and one troop, in line, rode in rear. In the center of this huge hollow square the captured herd of about 2000 was driven along. One troop marched in rear of all as rear guard. It was a living corral and our march was nearly 20 miles.

On September 29th reveille was late. Immediately after breakfast a detail was made to shoot the captured ponies, which, owing to the great number, it was found impossible to take along and properly guard them, or to take them into the nearest military post-the nearest being nearly two hundred miles away. The Indians would follow us and be upon us every night in an effort to stampede and recapture them. Experience had been our lesson. The number, as has been stated, were variously estimated at from 1500 to 2200. The ""Tonks' were permitted to select the best. Numbers of them were young and handsome, and it seemed a pity to be compelled to kill them, but there was no other alternative. It was the surest method of crippling the Indians and compelling them to go into and stay upon their reservations which they had fled from. Many were the best race ponies they had and many pesos had been waged upon them. Some were used to replace those which had died on the march or been wounded in the fight. It was a heavy blow. They were such valuable property that they were held in higher esteem than their squaws. 

It took Lawton the most of one day, with one troop, to pile these bodies up on the plains. They were still there-on the ""Tex"" Rogers ranch some years ago-an enigma to the average Texas boy who looked upon them with wondering eyes.""

Captain R. G. Carter
<i>On the Border with Mackenzie,</i>
<i>Or Winning West Texas from the Commanches</i>
1935",,,,,NULL,
180,2007-02-17 17:19:13,2007-02-17 17:20:13,Excelsior in White,Remnants of the Buffalo Wars,"In 1874, Mackenzie's destruction of Commanche-Kiowa horses left a mountain of bones 50 feet high. Buffalo bones were piled high across the West, even as late as this 1895 photo. Most were sold, turned into commercial fertilizer, and spread across the farms of the Great Plains.",,,,,180_t.jpg,
181,2007-02-17 17:27:11,2007-02-17 17:28:15,Excelsior in Black,Solarized view of the bleaching bones that stamped the Great Plains as a new century loomed.,"Toward the turn of the century, a vast repo effort collected two million tons of buffalo remains valued at forty million dollars, converting the former way of life for modern industrial usage.",,,,,181_t.jpg,
182,2007-02-18 13:25:16,2007-02-18 13:49:15,"The ""I-word"": Missing In Action","The official online description of the current exhibit, ""JA: The Paloduro Ranch,"" forgets the ""I-word"". (Check back for our coming review of the most important exhibit to date on the JA's legacy and significance...)","This exhibit will mark the 130th anniversary of the JA Ranch and include the history from the arrival of Charles Goodnight in 1876 to the present.  The introduction will briefly discuss Palo Duro Canyon before the establishment of the ranch.  A section will be devoted to Charles Goodnight and his wife Mary Ann Dyer Goodnight and their importance in the establishment and early history of the ranch and their ""saving"" the bison.  John and Cornelia Wadsworth Ritchie Adair will be spotlighted, as will Mrs. Ritchie's grandson Montgomery H. Wadsworth Ritchie who operated the JA during much of the 20th century. Paloduro is one word, as it was in the contract between Goodnight and Adair.

""JA: The Paloduro Ranch""
Online Exhibition Description
Panhandle Plains Museum
Canyon, TX
February 2007",,,,,NULL,
183,2007-02-18 15:19:52,2007-03-11 18:13:28,Sheridan Pow Wows with The Adairs,"Reaching Chicago, the Adair's are briefed by Sheridan on the state of Indian warfare to the South. Because it's dangerous, they also get a cavalry escort to go hunting. After all, Mrs. Adair's brother, Craig, was serving on Sheridan's staff; and he knew her father James, a hero-General slain in the Civil War. Their eyes may well have opened to the emerging post-Indian commercial opportunity.","The arrow marks the spot where Gen. Phil Sheridan's mansion once stood in Chicago, roughly today's 2000 block on S. Michigan Ave., where he had his Home and Headquarters. On September 19, 1874, the Adair's visited Sheridan for a personal briefing on their trip west. Mrs. Adair's brother Craig was on Sheridan's staff, and Sheridan personally knew her father, a war-hero General, who was killed in the Civil War at the Battle of the Wilderness.","""He described the state of Indian warfare further South as making it quite impossible for us to attempt a buffalo hunt lower down than  the Republican (River). He told us that we must take a cavalry escort with us...""",,,,183_t.jpg,
184,2007-02-22 20:17:24,2007-02-23 04:43:44,The Great Plains On the Brink,"Back East, settlement required deforestation; out West, it mandated buffalo harvesting.","Above all the bottomless resource of the buffalo herds which had supported their way of life since time immemorial was now running out. The penetration of the plains by the transcontinental railroads had split theri grazing grounds, put hide hunting on to a commerical basis, and accelerated slaughter to an industrial pace. The southern buffalo population was near extinction by the time of the Red River War; the northern population was in catastrophic decline also. 

Deforestation had been the necessary preliminary to settlement in the temperate United States; the buffalo holocaust was the equivalent precondition to the opening of the plains. It was immeasurably easier and it had the direct side-effect of forcing the Indians to choose between acceptance of dependency on the whites through the reservation system or increasingly desperate armed resistance.

John Keegan
<i>Fields of Battle: The Wars for North America</i>
1995",,,,,NULL,
186,2007-03-07 14:35:38,2007-03-29 23:12:06,Indian Management,From the memoirs of a soldier who guarded the pacified...,"At Ft. Sill the Indians we guarded on the extensive reservation were the Comanches and the Kioways. They numbered several thousands. Of the Koways the enteir tribe had been pacified. Of the Comanches all were present except a few of the Cohardie [Quohadi] Commanches, still hostile. Their camp was said to be somewhere out on the Staked Plains or Llano Estacado. The Cohardie Commanches, the scourge of Texas and the Southwest, were in 1874 attacked by Mackenzie with the 4th Cavalry, at their camp in the Paladuro Canyon of the Staked Plains. Twelve hundred Indian ponies were captured and shot to prevent their recapture. Most of the Indians then surrendered...

They received from the Government an allowance of clothing, rations, etc. These supplies were issue to them by the Indian agent, who was an Interior Department official and not under the control of the War Deparmrnet. The beef was issued on the hoof, and slaughtered by the Indians. The Indians eked out the food thus supplied by gathering and storing  berries, wild plums, roots, etc. In summer they were permitted to go under escort of soldiers to the buffalo country, some forty to a hundred miles west of Fort Sill, where they killed great numbers of buffalo, drying the meat. The skins they sold to the Indian trader, who paid from five to ten dollars apiece for them, according to quality.

Gen. James Parker
<i>The Old Army</i>
Memoirs 1872-1918",,,,,NULL,
